image,method,raw_bytes,out_bytes,encode_ms,decode_ms,encode_throughput_mbps,decode_throughput_mbps,ratio,bpp,lossless
oexr_TestImages_GrayRampsHorizontal.exr,xz_9,2560000,10320,97.577042,29.853292,26.235679495182893,85.75268683936096,248.06201550387595,0.129,True
oexr_TestImages_GrayRampsHorizontal.exr,bzip2_9,2560000,41725,860.011083,87.056458,2.9767058246155185,29.406204419665222,61.35410425404434,0.5215625,True
oexr_TestImages_GrayRampsHorizontal.exr,lz4_9,2560000,37592,22.958042,21.892792,111.50776708222767,116.9334637628677,68.09959565865077,0.4699,True
oexr_TestImages_GrayRampsHorizontal.exr,zfp,2560000,409800,31.410667,14.787125,81.50097544888173,173.1235787889803,6.246949731576379,5.1225,True
oexr_TestImages_GrayRampsHorizontal.exr,blosc_zstd9_shuf,2560000,6725,14.090417,2.243334,181.6837642207466,1141.158650472912,380.6691449814126,0.0840625,True
oexr_TestImages_GrayRampsHorizontal.exr,blosc_zstd9_bitshuf,2560000,9765,16.033417,2.951084,159.666526480288,867.4778488175872,262.16077828981054,0.1220625,True
oexr_TestImages_GrayRampsHorizontal.exr,blosc_zstd9_noshuf,2560000,14474,12.67025,0.734125,202.0481048124544,3487.1445598501614,176.8688683156004,0.180925,True
oexr_TestImages_GrayRampsHorizontal.exr,blosc_lz4hc9_shuf,2560000,19837,5.580292,1.73625,458.7573553498634,1474.442044636429,129.05177194132176,0.2479625,True
oexr_TestImages_GrayRampsHorizontal.exr,blosc_lz4_shuf,2560000,24732,1.74425,1.724333,1467.6795184176578,1484.6320287322692,103.50962316027818,0.30915,True
oexr_TestImages_GrayRampsHorizontal.exr,planes_zstd19,2560000,5395,193.753208,71.695667,13.212684457849079,35.706481397264916,474.5134383688601,0.0674375,True
oexr_TestImages_GrayRampsHorizontal.exr,our_v0_passthrough,2560000,2560021,6.68675,4.299208,382.84667439338995,595.4585123585553,0.9999917969422907,32.0002625,True
oexr_TestImages_GrayRampsHorizontal.exr,our_v1a_rans_static,2560000,2560034,31.987041,32.848167,80.03241062529041,77.93433344393311,0.9999867189263892,32.000425,True
oexr_TestImages_GrayRampsHorizontal.exr,our_v1b_rans_order0,2560000,1581221,39.025542,39.374667,65.59806395513993,65.01642286904928,1.6190020243849532,19.7652625,True
oexr_TestImages_GrayRampsHorizontal.exr,our_v1c_rans_order1,2560000,1183348,40.406375,79.978833,63.3563391915261,32.00846904080233,2.163353468295041,14.79185,True
oexr_TestImages_GrayRampsHorizontal.exr,our_v2a_bitshuf_order0,2560000,904278,46.989333,44.024291,54.480449850181955,58.14971557406796,2.830987815693846,11.303475,True
oexr_TestImages_GrayRampsHorizontal.exr,our_v2b_bitshuf_order1,2560000,485617,48.362708,58.759417,52.93334690853126,43.56748468079593,5.271644114600601,6.0702125,True
oexr_TestImages_GrayRampsHorizontal.exr,our_v4a_pred_order0,2560000,21167,40.79425,35.572875,62.75394203840003,71.96494520052146,120.94297727594841,0.2645875,True
oexr_TestImages_GrayRampsHorizontal.exr,our_v4b_pred_order1,2560000,146493,39.896833,41.021416,64.16549403808568,62.40642692587696,17.475237724669437,1.8311625,True
